position,class,rel_laps,lap_delta,gap,rel_pitstops_completed,laps_remaining_in_stint
1,HY,101,-15.399999999999991,-52,-5.0,16
2,HY,99,-15.199999999999989,-3,-5.0,6
3,HY,99,-15.099999999999994,-31,-4.0,25
4,HY,96,-14.0,15,-3.0,17
5,HY,94,-14.199999999999989,-18,-6.0,15
6,HY,88,-12.0,20,0.0,26
7,HY,88,-12.399999999999991,21,0.0,15
8,HY,86,-15.099999999999994,9,-4.0,9
9,HY,85,-15.099999999999994,20,-3.0,29
10,HY,83,-11.699999999999989,-52,-5.0,18
11,HY,79,-9.0,-68,6.0,28
12,HY,75,-9.0,4,-2.0,10
13,GT3,27,-2.1999999999999886,-6,-7.0,26
14,GT3,26,-2.1999999999999886,-15,-7.0,7
15,GT3,22,-2.3999999999999915,-21,-5.0,2
16,GT3,18,-1.2999999999999972,-27,-5.0,21
17,GT3,16,-2.0,17,-3.0,17
18,GT3,16,-0.19999999999998863,12,-6.0,16
19,GT3,16,-2.1999999999999886,-66,-3.0,15
20,GT3,16,6.200000000000003,-57,-6.0,26
21,GT3,-495,-1.566999999999993,-31,,3
22,GT3,13,-0.6999999999999886,-16,-8.0,9
23,GT3,5,-1.0,-30,-4.0,23
24,GT3,0,-0.09999999999999432,24,-2.0,11
25,GT3,0,0.0,0,0.0,22
26,GT3,0,0.0,-63,-5.0,25
27,GT3,-9,-0.7999999999999972,-20,-2.0,16
28,GT3,-11,1.4000000000000057,26,4.0,6
29,GT3,-16,-0.09999999999999432,-55,13.0,3
30,GT3,-17,-0.09999999999999432,31,-5.0,25
31,GT3,-27,-0.7999999999999972,-35,-4.0,4
