position,class,current_lap_elapsed,last_lap_time,laps_completed,laps_since_pitstop,num_pitstops
1,HY,85,92.3,292,20,10
2,HY,87,91.5,291,17,12
3,HY,15,92.7,291,23,11
4,HY,50,92.5,290,5,14
5,HY,32,91.8,290,3,12
6,HY,68,92.3,288,5,14
7,HY,47,93.0,287,3,10
8,HY,83,93.9,284,5,13
9,HY,76,93.8,284,24,14
10,HY,84,93.0,283,20,13
11,HY,18,92.6,281,3,12
12,HY,32,94.3,280,22,13
13,GT3,30,103.3,258,23,11
14,GT3,7,104.1,257,19,12
15,GT3,65,104.8,255,17,11
16,GT3,31,105.9,252,15,10
17,GT3,0,112.9,252,0,11
18,GT3,95,106.2,251,8,11
19,GT3,62,104.3,251,10,12
20,GT3,9,105.8,251,2,12
21,GT3,16,105.6,250,5,11
22,GT3,54,106.8,249,9,10
23,GT3,12,106.4,247,13,10
24,GT3,42,107.2,245,15,13
25,GT3,2,107.2,244,1,13
26,GT3,40,107.2,240,10,12
27,GT3,11,117.6,240,17,12
28,GT3,33,108.3,238,9,16
29,GT3,0,117.6,236,0,21
30,GT3,70,110.1,228,6,13
31,GT3,34,105.6,224,21,10
