position,class,current_lap_elapsed,last_lap_time,laps_completed,laps_since_pitstop,num_pitstops
1,HY,18,91.7,619,13,25
2,HY,67,91.9,617,23,25
3,HY,39,92,617,4,26
4,HY,85,93.1,614,1227,
5,HY,52,92.9,612,14,24
6,HY,90,95.1,606,3,30
7,HY,91,94.7,606,14,30
8,HY,79,92,604,20,26
9,HY,90,92,603,0,27
10,HY,18,95.4,601,11,25
11,HY,2,98.1,597,1,36
12,HY,74,98.1,593,19,28
13,GT3,64,104.9,545,0,23
14,GT3,55,104.9,544,19,23
15,GT3,49,104.7,540,24,25
16,GT3,43,105.8,536,5,25
17,GT3,87,105.1,534,9,27
18,GT3,82,106.9,534,10,24
19,GT3,4,104.9,534,11,27
20,GT3,13,113.3,534,0,24
21,GT3,39,105.533,23,23
22,GT3,54,106.4,531,17,22
23,GT3,40,106.1,523,3,26
24,GT3,94,107,518,15,28
25,GT3,70,107.1,518,4,30
26,GT3,7,107.1,518,1,25
27,GT3,50,106.3,509,10,28
28,GT3,96,108.5,507,20,34
29,GT3,15,107,502,23,43
30,GT3,101,107,501,1,25
31,GT3,35,106.3,491,22,26
