position,class,current_lap_elapsed,last_lap_time,laps_completed,laps_since_pitstop,num_pitstops
1,HY,39,92.333,124,7,6
2,HY,22,92.146,124,3,4
3,HY,16,92.749,124,3,4
4,HY,59,94.377,123,11,4
5,HY,56,92.862,123,3,4
6,HY,30,91.297,123,18,5
7,HY,51,94.099,122,21,5
8,HY,3,93.732,122,4,4
9,HY,84,92.45,121,3,6
10,HY,44,92.658,121,18,6
11,HY,38,104.897,118,10,7
12,HY,71,92.256,117,18,5
13,GT3,16,104.675,109,4,5
14,GT3,15,104.675,109,1,4
15,GT3,102,105.599,108,25,4
16,GT3,96,106.807,108,2,4
17,GT3,91,113.442,108,2,5
18,GT3,13,107.695,108,25,4
19,GT3,62,105.315,107,5,4
20,GT3,48,106.771,107,7,4
21,GT3,99,106.771,106,1,4
22,GT3,0,115.972,105,0,4
23,GT3,0,117.414,104,0,5
24,GT3,64,114.376,104,0,4
25,GT3,37,114.376,103,1,6
26,GT3,69,109.671,101,22,6
27,GT3,36,107.468,101,4,6
28,GT3,51,105.155,100,9,6
29,GT3,85,107.014,97,2,6
30,GT3,56,106.089,95,15,4
31,GT3,102,110.57,78,7,4
